,v_e,v_h,a,t,drug,nk#
0,2.2794599876,1.71645519463,1.12485438498,0.395280701399,1.0,1
1,1.14074572773,0.913005706044,1.64623768361,0.428923550087,1.0,2
2,0.989161299314,0.616248108222,1.40883923674,0.381989328926,1.0,3
3,1.06977160672,0.825231668172,1.58558464749,0.476513675906,1.0,4
4,1.08309907686,0.704510693694,1.47878853016,0.479141733833,1.0,5
5,1.65222095869,1.19910216395,1.24874288361,0.484965851778,1.0,7
6,1.20517622859,0.759762145978,1.73666891731,0.442262583444,1.0,8
7,1.02782169248,0.602424359181,1.38235869334,0.428582900637,1.0,9
8,0.586227069051,0.624128686828,2.0377806446,0.82194130738,1.0,11
9,0.972897592523,0.573645546323,1.45215325669,0.424084023064,1.0,12
10,1.0599170629,0.78093459339,1.08052581152,0.439206906714,1.0,13
11,0.507142242532,0.297778768751,2.18650993479,0.402158699714,1.0,14
12,1.35543521046,1.05538764038,1.27317531807,0.414191989785,1.0,15
13,0.836140749786,0.835059419498,1.52025779576,0.476000646681,1.0,16
14,1.47848483942,0.821713936161,1.46746842473,0.495304945504,1.0,17
15,1.05342148707,0.652032237043,1.66320091011,0.433034257013,1.0,18
16,1.13576573051,0.899195879724,1.29087707913,0.506235941221,1.0,19
17,0.961469437396,0.649658766214,2.09921221229,0.358464535667,1.0,20
18,1.00377490149,0.821666418083,1.75058320252,0.516887757141,1.0,21
0,2.17544252828,1.66320280215,1.19477646294,0.383191521053,0.0,1
1,1.0135892669,0.697457915691,1.65301231104,0.44621165022,0.0,2
2,0.960111434221,0.530141895862,1.31953857495,0.382218041034,0.0,3
3,1.18341489949,0.816829438204,1.70657652769,0.48012017118,0.0,4
4,1.88158710106,1.19529859234,1.12119506706,0.475941472226,0.0,5
5,1.62624286112,0.962670698357,1.28282426614,0.480848482346,0.0,7
6,1.14637719155,0.86152579306,1.87748045492,0.546558653494,0.0,8
7,1.27568596925,0.995369348656,1.25839577922,0.360584092739,0.0,9
8,0.880099651709,0.876459644141,2.03695108224,0.721284255172,0.0,11
9,0.999487369814,0.824362976642,1.53980405272,0.390575193464,0.0,12
10,0.981111292118,0.748048589927,1.01211299837,0.415237181804,0.0,13
11,0.652184600509,0.474714557817,2.17859937568,0.483492790053,0.0,14
12,1.58003101,1.05861571268,1.15208165902,0.410081026256,0.0,15
13,1.07315581638,0.898418108701,1.60024920145,0.498842764478,0.0,16
14,1.18740578416,1.09028580589,1.44262140651,0.533952956962,0.0,17
15,1.22495055948,0.847206637813,1.6694476485,0.419389632951,0.0,18
16,1.39123142165,0.947258584789,1.16681964853,0.502197074172,0.0,19
17,1.19937462696,0.800787400655,2.07279725703,0.426854352455,0.0,20
18,1.20804144566,0.899628954808,1.71007989394,0.512107031813,0.0,21
