,right_button_drug,right_button_plac
0,0.52536038441,0.526627218935
1,0.486731001206,0.551412429379
2,0.513392857143,0.522187822497
3,0.501328021248,0.453018046049
4,0.482002249719,0.485652409312
5,0.531504818384,0.485156912638
6,0.448004201681,0.489519945909
7,0.458762886598,0.513675783856
8,0.46950195859,0.486102532427
9,0.517283201941,0.466511357018
10,0.529761904762,0.557331863286
11,0.538302277433,0.50956937799
12,0.436946902655,0.496915045088
13,0.470619097587,0.517175572519
14,0.518796992481,0.491467576792
15,0.504957038995,0.458987783595
16,0.521281683405,0.477300613497
17,0.458752515091,0.477501323452
18,0.467656415695,0.492409867173
