,a,t,v,v_diff,v_drug,subject
0,2.24214218835,0.272829254594,1.0286276524,-0.322389205977,0.0648507621787,1
1,1.63742204444,0.361605036149,0.924065963535,-0.291236925056,-0.0252728565268,2
2,2.05995939212,0.387311614249,1.05220927607,-0.237700460597,-0.0292859058036,3
3,1.34144931345,0.513020363108,1.64352708875,-0.383353433478,-0.386567347039,4
4,1.47611986523,0.512015160317,1.34113775663,-0.389760272108,-0.0077818694229,5
5,1.911104773,0.502278032373,1.00924392031,-0.268280796966,0.137581125444,6
6,1.61812225152,0.359461243373,1.26957342879,-0.252228951234,-0.340313266707,7
7,2.42243770267,0.6264167836,0.908727269465,-0.191099095085,-0.209412824473,8
8,1.92286827945,0.31382864966,0.939807489922,-0.260490004363,-0.0404148973325,9
9,1.28821224122,0.418620285327,1.00747960012,-0.29056125274,-0.0310718327684,10
10,2.93000517406,0.146703317693,0.570310277341,-0.159817764227,-0.100207837661,11
11,1.76675055726,0.289433698587,1.27809371962,-0.277413583824,-0.105388758188,12
12,1.67018074021,0.512218915771,1.03584363513,-0.239693063355,-0.0104280304049,13
13,1.74922489371,0.488015648608,1.28453169631,-0.279800220925,0.0311197331716,14
14,1.81992852636,0.441388622559,1.06665923893,-0.264011490618,-0.186230414729,15
15,1.58942447183,0.451826497565,1.28086467897,-0.308727501239,-0.150612901747,16
16,2.21035728739,0.431890323537,1.10810850639,-0.316642554197,-0.0777304314625,17
17,2.19840575203,0.398963830849,1.16467143336,-0.266996231181,-0.13183538891,18
