,duration,start_timestamp,eye,end_timestamp
0,107.0,-125.0,L,-19.0
1,92.0,184.0,L,275.0
2,73.0,905.0,L,977.0
3,98.0,1686.0,L,1783.0
4,146.0,2174.0,L,2319.0
5,140.0,13860.0,L,13999.0
6,158.0,25964.0,L,26121.0
7,182.0,54916.0,L,55097.0
8,312.0,57616.0,L,57927.0
9,469.0,78851.0,L,79319.0
10,266.0,82674.0,L,82939.0
11,475.0,93398.0,L,93872.0
12,438.0,96811.0,L,97248.0
13,300.0,105420.0,L,105719.0
14,188.0,117792.0,L,117979.0
15,178.0,122783.0,L,122960.0
16,19.0,126296.0,L,126314.0
17,291.0,126344.0,L,126634.0
18,54.0,126885.0,L,126938.0
19,60.0,127171.0,L,127230.0
20,68.0,127799.0,L,127866.0
21,78.0,131129.0,L,131206.0
22,154.0,131403.0,L,131556.0
23,96.0,131743.0,L,131838.0
24,232.0,132143.0,L,132374.0
25,205.0,132677.0,L,132881.0
26,135.0,133257.0,L,133391.0
27,163.0,141963.0,L,142125.0
28,401.0,151001.0,L,151401.0
29,704.0,177576.0,L,178279.0
30,409.0,186802.0,L,187210.0
31,262.0,189928.0,L,190189.0
32,360.0,192422.0,L,192781.0
33,367.0,201792.0,L,202158.0
34,653.0,208352.0,L,209004.0
35,156.0,211571.0,L,211726.0
36,144.0,213918.0,L,214061.0
37,383.0,222296.0,L,222678.0
38,492.0,253436.0,L,253927.0
39,173.0,255116.0,L,255288.0
40,106.0,255680.0,L,255785.0
41,112.0,255988.0,L,256099.0
42,101.0,256266.0,L,256366.0
43,83.0,256757.0,L,256839.0
44,85.0,257113.0,L,257197.0
45,94.0,257621.0,L,257714.0
46,106.0,258543.0,L,258648.0
47,99.0,261148.0,L,261246.0
48,109.0,261605.0,L,261713.0
49,95.0,261986.0,L,262080.0
50,89.0,262326.0,L,262414.0
51,74.0,262620.0,L,262693.0
52,89.0,262916.0,L,263004.0
53,205.0,271815.0,L,272019.0
54,533.0,319529.0,L,320061.0
55,726.0,350766.0,L,351491.0
56,447.0,377119.0,L,377565.0
57,85.0,378287.0,L,378371.0
58,79.0,378984.0,L,379062.0
59,121.0,379922.0,L,380042.0
60,113.0,380241.0,L,380353.0
61,102.0,380534.0,L,380635.0
62,98.0,380820.0,L,380917.0
63,92.0,381560.0,L,381651.0
64,102.0,382139.0,L,382240.0
65,235.0,414589.0,L,414823.0
66,357.0,457874.0,L,458230.0
67,443.0,463850.0,L,464292.0
68,163.0,466198.0,L,466360.0
69,74.0,496687.0,L,496760.0
